Week,Airports,Class,Passengers
1989-04-24,ADL-PER,Economy,2502.0
1989-05-01,ADL-PER,Economy,2080.0
1989-05-08,ADL-PER,Economy,1930.0
1989-05-15,ADL-PER,Economy,1696.0
1989-05-22,ADL-PER,Economy,2014.0
1989-05-29,ADL-PER,Economy,1611.0
1989-06-05,ADL-PER,Economy,1759.0
1989-06-12,ADL-PER,Economy,1962.0
1989-06-19,ADL-PER,Economy,2060.0
1989-06-26,ADL-PER,Economy,2486.0
1989-07-03,ADL-PER,Economy,2481.0
1989-07-10,ADL-PER,Economy,2245.0
1989-07-17,ADL-PER,Economy,2215.0
1989-07-24,ADL-PER,Economy,1748.0
1989-07-31,ADL-PER,Economy,1647.0
1989-08-07,ADL-PER,Economy,1698.0
1989-08-14,ADL-PER,Economy,965.0
1989-08-21,ADL-PER,Economy,0.0
1989-08-28,ADL-PER,Economy,0.0
1989-09-04,ADL-PER,Economy,0.0
1989-09-11,ADL-PER,Economy,0.0
1989-09-18,ADL-PER,Economy,0.0
1989-09-25,ADL-PER,Economy,0.0
1989-10-02,ADL-PER,Economy,0.0
1989-10-09,ADL-PER,Economy,0.0
1989-10-16,ADL-PER,Economy,0.0
1989-10-23,ADL-PER,Economy,109.0
1989-10-30,ADL-PER,Economy,87.0
1989-11-06,ADL-PER,Economy,63.0
1989-11-13,ADL-PER,Economy,47.0
1989-11-20,ADL-PER,Economy,0.0
1989-11-27,ADL-PER,Economy,0.0
1989-12-04,ADL-PER,Economy,167.0
1989-12-11,ADL-PER,Economy,1428.0
1989-12-18,ADL-PER,Economy,1143.0
1989-12-25,ADL-PER,Economy,1242.0
1990-01-01,ADL-PER,Economy,1258.0
1990-01-08,ADL-PER,Economy,1438.0
1990-01-15,ADL-PER,Economy,1098.0
1990-01-22,ADL-PER,Economy,1321.0
1990-01-29,ADL-PER,Economy,1307.0
1990-02-05,ADL-PER,Economy,1398.0
1990-02-12,ADL-PER,Economy,1300.0
1990-02-19,ADL-PER,Economy,1330.0
1990-02-26,ADL-PER,Economy,1652.0
1990-03-05,ADL-PER,Economy,1427.0
1990-03-12,ADL-PER,Economy,1882.0
1990-03-19,ADL-PER,Economy,2120.0
1990-03-26,ADL-PER,Economy,2317.0
1990-04-02,ADL-PER,Economy,2514.0
1990-04-09,ADL-PER,Economy,2298.0
1990-04-16,ADL-PER,Economy,2351.0
1990-04-23,ADL-PER,Economy,2104.0
1990-04-30,ADL-PER,Economy,1731.0
1990-05-07,ADL-PER,Economy,1620.0
1990-05-14,ADL-PER,Economy,1475.0
1990-05-21,ADL-PER,Economy,1423.0
1990-05-28,ADL-PER,Economy,1538.0
1990-06-04,ADL-PER,Economy,1549.0
1990-06-11,ADL-PER,Economy,1559.0
1990-06-18,ADL-PER,Economy,1945.0
1990-06-25,ADL-PER,Economy,2415.0
1990-07-02,ADL-PER,Economy,2345.0
1990-07-09,ADL-PER,Economy,2183.0
1990-07-16,ADL-PER,Economy,2036.0
1990-07-23,ADL-PER,Economy,1685.0
1990-07-30,ADL-PER,Economy,1728.0
1990-08-06,ADL-PER,Economy,1799.0
1990-08-13,ADL-PER,Economy,1981.0
1990-08-20,ADL-PER,Economy,1986.0
1990-08-27,ADL-PER,Economy,2101.0
1990-09-03,ADL-PER,Economy,2331.0
1990-09-10,ADL-PER,Economy,2642.0
1990-09-17,ADL-PER,Economy,1538.0
1990-09-24,ADL-PER,Economy,2501.0
1990-10-01,ADL-PER,Economy,2653.0
1990-10-08,ADL-PER,Economy,2283.0
1990-10-15,ADL-PER,Economy,2209.0
1990-10-22,ADL-PER,Economy,2152.0
1990-10-29,ADL-PER,Economy,2200.0
1990-11-05,ADL-PER,Economy,1970.0
1990-11-12,ADL-PER,Economy,1864.0
1990-11-19,ADL-PER,Economy,1965.0
1990-11-26,ADL-PER,Economy,1990.0
1990-12-03,ADL-PER,Economy,1977.0
1990-12-10,ADL-PER,Economy,2697.0
1990-12-17,ADL-PER,Economy,2238.0
1990-12-24,ADL-PER,Economy,2323.0
1990-12-31,ADL-PER,Economy,2653.0
1991-01-07,ADL-PER,Economy,2453.0
1991-01-14,ADL-PER,Economy,1474.0
1991-01-21,ADL-PER,Economy,2437.0
1991-01-28,ADL-PER,Economy,1905.0
1991-02-04,ADL-PER,Economy,1860.0
1991-02-11,ADL-PER,Economy,1806.0
1991-02-18,ADL-PER,Economy,1866.0
1991-02-25,ADL-PER,Economy,1581.0
1991-03-04,ADL-PER,Economy,1790.0
1991-03-11,ADL-PER,Economy,2210.0
1991-03-18,ADL-PER,Economy,1928.0
1991-03-25,ADL-PER,Economy,1805.0
1991-04-01,ADL-PER,Economy,2073.0
1991-04-08,ADL-PER,Economy,2227.0
1991-04-15,ADL-PER,Economy,1925.0
1991-04-22,ADL-PER,Economy,2018.0
1991-04-29,ADL-PER,Economy,1924.0
1991-05-06,ADL-PER,Economy,1595.0
1991-05-13,ADL-PER,Economy,1665.0
1991-05-20,ADL-PER,Economy,1664.0
1991-05-27,ADL-PER,Economy,1640.0
1991-06-03,ADL-PER,Economy,1494.0
1991-06-10,ADL-PER,Economy,1682.0
1991-06-17,ADL-PER,Economy,1776.0
1991-06-24,ADL-PER,Economy,2008.0
1991-07-01,ADL-PER,Economy,2129.0
1991-07-08,ADL-PER,Economy,2284.0
1991-07-15,ADL-PER,Economy,2030.0
1991-07-22,ADL-PER,Economy,2024.0
1991-07-29,ADL-PER,Economy,2022.0
1991-08-05,ADL-PER,Economy,2036.0
1991-08-12,ADL-PER,Economy,2070.0
1991-08-19,ADL-PER,Economy,2286.0
1991-08-26,ADL-PER,Economy,2305.0
1991-09-02,ADL-PER,Economy,2426.0
1991-09-09,ADL-PER,Economy,2483.0
1991-09-16,ADL-PER,Economy,2697.0
1991-09-23,ADL-PER,Economy,2617.0
1991-09-30,ADL-PER,Economy,2605.0
1991-10-07,ADL-PER,Economy,2560.0
1991-10-14,ADL-PER,Economy,2655.0
1991-10-21,ADL-PER,Economy,2376.0
1991-10-28,ADL-PER,Economy,2442.0
1991-11-04,ADL-PER,Economy,2509.0
1991-11-11,ADL-PER,Economy,2649.0
1991-11-18,ADL-PER,Economy,2501.0
1991-11-25,ADL-PER,Economy,2496.0
1991-12-02,ADL-PER,Economy,2711.0
1991-12-09,ADL-PER,Economy,2913.0
1991-12-16,ADL-PER,Economy,2909.0
1991-12-23,ADL-PER,Economy,3163.0
1991-12-30,ADL-PER,Economy,3305.0
1992-01-06,ADL-PER,Economy,3036.0
1992-01-13,ADL-PER,Economy,2977.0
1992-01-20,ADL-PER,Economy,2444.0
1992-01-27,ADL-PER,Economy,2480.0
1992-02-03,ADL-PER,Economy,2393.0
1992-02-10,ADL-PER,Economy,2282.0
1992-02-17,ADL-PER,Economy,2417.0
1992-02-24,ADL-PER,Economy,2266.0
1992-03-02,ADL-PER,Economy,2353.0
1992-03-09,ADL-PER,Economy,2354.0
1992-03-16,ADL-PER,Economy,1670.0
1992-03-23,ADL-PER,Economy,1612.0
1992-03-30,ADL-PER,Economy,1485.0
1992-04-06,ADL-PER,Economy,1934.0
1992-04-13,ADL-PER,Economy,1856.0
1992-04-20,ADL-PER,Economy,1776.0
1992-04-27,ADL-PER,Economy,1629.0
1992-05-04,ADL-PER,Economy,1427.0
1992-05-11,ADL-PER,Economy,1558.0
1992-05-18,ADL-PER,Economy,1480.0
1992-05-25,ADL-PER,Economy,1416.0
1992-06-01,ADL-PER,Economy,1768.0
1992-06-08,ADL-PER,Economy,1888.0
1992-06-15,ADL-PER,Economy,2242.0
1992-06-22,ADL-PER,Economy,2692.0
1992-06-29,ADL-PER,Economy,2519.0
1992-07-06,ADL-PER,Economy,2535.0
1992-07-13,ADL-PER,Economy,2534.0
1992-07-20,ADL-PER,Economy,2700.0
1992-07-27,ADL-PER,Economy,2578.0
1992-08-03,ADL-PER,Economy,2488.0
1992-08-10,ADL-PER,Economy,2681.0
1992-08-17,ADL-PER,Economy,2634.0
1992-08-24,ADL-PER,Economy,2483.0
1992-08-31,ADL-PER,Economy,2753.0
1992-09-07,ADL-PER,Economy,2837.0
1992-09-14,ADL-PER,Economy,3048.0
1992-09-21,ADL-PER,Economy,3061.0
1992-09-28,ADL-PER,Economy,2943.0
1992-10-05,ADL-PER,Economy,2789.0
1992-10-12,ADL-PER,Economy,2823.0
1992-10-19,ADL-PER,Economy,2799.0
1992-10-26,ADL-PER,Economy,2650.0
1992-11-02,ADL-PER,Economy,3059.0
1992-11-09,ADL-PER,Economy,2783.0
1992-11-16,ADL-PER,Economy,2722.0
1987-06-22,ADL-PER,First,252.0
1987-06-29,ADL-PER,First,193.0
1987-07-06,ADL-PER,First,159.0
1987-07-13,ADL-PER,First,219.0
1987-07-20,ADL-PER,First,192.0
1987-07-27,ADL-PER,First,219.0
1987-08-03,ADL-PER,First,191.0
1987-08-10,ADL-PER,First,229.0
1987-08-17,ADL-PER,First,197.0
1987-08-24,ADL-PER,First,209.0
1987-08-31,ADL-PER,First,204.0
1987-09-07,ADL-PER,First,195.0
1987-09-14,ADL-PER,First,214.0
1987-09-21,ADL-PER,First,219.0
1987-09-28,ADL-PER,First,289.0
1987-10-05,ADL-PER,First,233.0
1987-10-12,ADL-PER,First,286.0
1987-10-19,ADL-PER,First,262.0
1987-10-26,ADL-PER,First,183.0
1987-11-02,ADL-PER,First,341.0
1987-11-09,ADL-PER,First,328.0
1987-11-16,ADL-PER,First,222.0
1987-11-23,ADL-PER,First,223.0
1987-11-30,ADL-PER,First,250.0
1987-12-07,ADL-PER,First,173.0
1987-12-14,ADL-PER,First,64.0
1987-12-21,ADL-PER,First,38.0
1987-12-28,ADL-PER,First,67.0
1988-01-04,ADL-PER,First,112.0
1988-01-11,ADL-PER,First,120.0
1988-01-18,ADL-PER,First,129.0
1988-01-25,ADL-PER,First,159.0
1988-02-01,ADL-PER,First,308.0
1988-02-08,ADL-PER,First,227.0
1988-02-15,ADL-PER,First,316.0
1988-02-22,ADL-PER,First,232.0
1988-02-29,ADL-PER,First,223.0
1988-03-07,ADL-PER,First,243.0
1988-03-14,ADL-PER,First,186.0
1988-03-21,ADL-PER,First,100.0
1988-03-28,ADL-PER,First,149.0
1988-04-04,ADL-PER,First,264.0
1988-04-11,ADL-PER,First,303.0
1988-04-18,ADL-PER,First,255.0
1988-04-25,ADL-PER,First,242.0
1988-05-02,ADL-PER,First,260.0
1988-05-09,ADL-PER,First,241.0
1988-05-16,ADL-PER,First,234.0
1988-05-23,ADL-PER,First,214.0
1988-05-30,ADL-PER,First,164.0
1988-06-06,ADL-PER,First,219.0
1988-06-13,ADL-PER,First,186.0
1988-06-20,ADL-PER,First,195.0
1988-06-27,ADL-PER,First,180.0
1988-07-04,ADL-PER,First,181.0
1988-07-11,ADL-PER,First,219.0
1988-07-18,ADL-PER,First,191.0
1988-07-25,ADL-PER,First,211.0
1988-08-01,ADL-PER,First,196.0
1988-08-08,ADL-PER,First,198.0
1988-08-15,ADL-PER,First,204.0
1988-08-22,ADL-PER,First,208.0
1988-08-29,ADL-PER,First,220.0
1988-09-05,ADL-PER,First,199.0
1988-09-12,ADL-PER,First,253.0
1988-09-19,ADL-PER,First,161.0
1988-09-26,ADL-PER,First,109.0
1988-10-03,ADL-PER,First,180.0
1988-10-10,ADL-PER,First,175.0
1988-10-17,ADL-PER,First,200.0
1988-10-24,ADL-PER,First,167.0
1988-10-31,ADL-PER,First,277.0
1988-11-07,ADL-PER,First,339.0
1988-11-14,ADL-PER,First,203.0
1988-11-21,ADL-PER,First,264.0
1988-11-28,ADL-PER,First,204.0
1988-12-05,ADL-PER,First,164.0
1988-12-12,ADL-PER,First,134.0
1988-12-19,ADL-PER,First,47.0
1988-12-26,ADL-PER,First,51.0
1989-01-02,ADL-PER,First,143.0
1989-01-09,ADL-PER,First,141.0
1989-01-16,ADL-PER,First,150.0
1989-01-23,ADL-PER,First,142.0
1989-01-30,ADL-PER,First,194.0
1989-02-06,ADL-PER,First,210.0
1989-02-13,ADL-PER,First,218.0
1989-02-20,ADL-PER,First,156.0
1989-02-27,ADL-PER,First,193.0
1989-03-06,ADL-PER,First,296.0
1989-03-13,ADL-PER,First,142.0
1989-03-20,ADL-PER,First,136.0
1989-03-27,ADL-PER,First,226.0
1989-04-03,ADL-PER,First,217.0
1989-04-10,ADL-PER,First,177.0
1989-04-17,ADL-PER,First,167.0
1989-04-24,ADL-PER,First,194.0
1989-05-01,ADL-PER,First,163.0
1989-05-08,ADL-PER,First,181.0
1989-05-15,ADL-PER,First,208.0
1989-05-22,ADL-PER,First,225.0
1989-05-29,ADL-PER,First,172.0
1989-06-05,ADL-PER,First,158.0
1989-06-12,ADL-PER,First,188.0
1989-06-19,ADL-PER,First,141.0
1989-06-26,ADL-PER,First,183.0
1989-07-03,ADL-PER,First,158.0
1989-07-10,ADL-PER,First,159.0
1989-07-17,ADL-PER,First,132.0
1989-07-24,ADL-PER,First,94.0
1989-07-31,ADL-PER,First,200.0
1989-08-07,ADL-PER,First,152.0
1989-08-14,ADL-PER,First,91.0
1989-08-21,ADL-PER,First,0.0
1989-08-28,ADL-PER,First,0.0
1989-09-04,ADL-PER,First,0.0
1989-09-11,ADL-PER,First,0.0
1989-09-18,ADL-PER,First,0.0
1989-09-25,ADL-PER,First,0.0
1989-10-02,ADL-PER,First,0.0
1989-10-09,ADL-PER,First,0.0
1989-10-16,ADL-PER,First,0.0
1989-10-23,ADL-PER,First,8.0
1989-10-30,ADL-PER,First,13.0
1989-11-06,ADL-PER,First,0.0
1989-11-13,ADL-PER,First,0.0
1989-11-20,ADL-PER,First,0.0
1989-11-27,ADL-PER,First,0.0
1989-12-04,ADL-PER,First,10.0
1989-12-11,ADL-PER,First,99.0
1989-12-18,ADL-PER,First,27.0
1989-12-25,ADL-PER,First,43.0
1990-01-01,ADL-PER,First,68.0
1990-01-08,ADL-PER,First,91.0
1990-01-15,ADL-PER,First,92.0
1990-01-22,ADL-PER,First,85.0
1990-01-29,ADL-PER,First,140.0
1990-02-05,ADL-PER,First,109.0
1990-02-12,ADL-PER,First,119.0
1990-02-19,ADL-PER,First,138.0
1990-02-26,ADL-PER,First,129.0
1990-03-05,ADL-PER,First,134.0
1990-03-12,ADL-PER,First,205.0
1990-03-19,ADL-PER,First,185.0
1990-03-26,ADL-PER,First,160.0
1990-04-02,ADL-PER,First,95.0
1990-04-09,ADL-PER,First,120.0
1990-04-16,ADL-PER,First,109.0
1990-04-23,ADL-PER,First,159.0
1990-04-30,ADL-PER,First,134.0
1990-05-07,ADL-PER,First,119.0
1990-05-14,ADL-PER,First,121.0
1990-05-21,ADL-PER,First,125.0
1990-05-28,ADL-PER,First,113.0
1990-06-04,ADL-PER,First,107.0
1990-06-11,ADL-PER,First,118.0
1990-06-18,ADL-PER,First,110.0
1990-06-25,ADL-PER,First,105.0
1990-07-02,ADL-PER,First,109.0
1990-07-09,ADL-PER,First,108.0
1990-07-16,ADL-PER,First,113.0
1990-07-23,ADL-PER,First,104.0
1990-07-30,ADL-PER,First,145.0
1990-08-06,ADL-PER,First,123.0
1990-08-13,ADL-PER,First,97.0
1990-08-20,ADL-PER,First,99.0
1990-08-27,ADL-PER,First,140.0
1990-09-03,ADL-PER,First,135.0
1990-09-10,ADL-PER,First,151.0
1990-09-17,ADL-PER,First,59.0
1990-09-24,ADL-PER,First,82.0
1990-10-01,ADL-PER,First,131.0
1990-10-08,ADL-PER,First,132.0
1990-10-15,ADL-PER,First,160.0
1990-10-22,ADL-PER,First,171.0
1990-10-29,ADL-PER,First,164.0
1990-11-05,ADL-PER,First,145.0
1990-11-12,ADL-PER,First,140.0
1990-11-19,ADL-PER,First,130.0
1990-11-26,ADL-PER,First,156.0
1990-12-03,ADL-PER,First,161.0
1990-12-10,ADL-PER,First,125.0
1990-12-17,ADL-PER,First,15.0
1990-12-24,ADL-PER,First,41.0
1990-12-31,ADL-PER,First,59.0
1991-01-07,ADL-PER,First,81.0
1991-01-14,ADL-PER,First,69.0
1991-01-21,ADL-PER,First,89.0
1991-01-28,ADL-PER,First,93.0
