Date,State,Gender,Legal,Indigenous,Count
2005-03-01,TAS,Female,Sentenced,Non-ATSI,18
2005-03-01,TAS,Male,Remanded,ATSI,13
2005-03-01,TAS,Male,Remanded,Non-ATSI,93
2005-03-01,TAS,Male,Sentenced,ATSI,44
2005-03-01,TAS,Male,Sentenced,Non-ATSI,344
2005-03-01,VIC,Female,Remanded,ATSI,4
2005-03-01,VIC,Female,Remanded,Non-ATSI,58
2005-03-01,VIC,Female,Sentenced,ATSI,12
2005-03-01,VIC,Female,Sentenced,Non-ATSI,184
2005-03-01,VIC,Male,Remanded,ATSI,34
2005-03-01,VIC,Male,Remanded,Non-ATSI,553
2005-03-01,VIC,Male,Sentenced,ATSI,126
2005-03-01,VIC,Male,Sentenced,Non-ATSI,2563
2005-03-01,WA,Female,Remanded,ATSI,34
2005-03-01,WA,Female,Remanded,Non-ATSI,27
2005-03-01,WA,Female,Sentenced,ATSI,115
2005-03-01,WA,Female,Sentenced,Non-ATSI,95
2005-03-01,WA,Male,Remanded,ATSI,189
2005-03-01,WA,Male,Remanded,Non-ATSI,306
2005-03-01,WA,Male,Sentenced,ATSI,1057
2005-03-01,WA,Male,Sentenced,Non-ATSI,1587
2005-06-01,ACT,Female,Remanded,ATSI,1
2005-06-01,ACT,Female,Remanded,Non-ATSI,3
2005-06-01,ACT,Female,Sentenced,ATSI,0
2005-06-01,ACT,Female,Sentenced,Non-ATSI,6
2005-06-01,ACT,Male,Remanded,ATSI,7
2005-06-01,ACT,Male,Remanded,Non-ATSI,59
2005-06-01,ACT,Male,Sentenced,ATSI,3
2005-06-01,ACT,Male,Sentenced,Non-ATSI,104
2005-06-01,NSW,Female,Remanded,ATSI,53
2005-06-01,NSW,Female,Remanded,Non-ATSI,138
2005-06-01,NSW,Female,Sentenced,ATSI,135
2005-06-01,NSW,Female,Sentenced,Non-ATSI,326
2005-06-01,NSW,Male,Remanded,ATSI,351
2005-06-01,NSW,Male,Remanded,Non-ATSI,1624
2005-06-01,NSW,Male,Sentenced,ATSI,1223
2005-06-01,NSW,Male,Sentenced,Non-ATSI,5249
2005-06-01,NT,Female,Remanded,ATSI,7
2005-06-01,NT,Female,Remanded,Non-ATSI,3
2005-06-01,NT,Female,Sentenced,ATSI,15
2005-06-01,NT,Female,Sentenced,Non-ATSI,3
2005-06-01,NT,Male,Remanded,ATSI,99
2005-06-01,NT,Male,Remanded,Non-ATSI,41
2005-06-01,NT,Male,Sentenced,ATSI,526
2005-06-01,NT,Male,Sentenced,Non-ATSI,128
2005-06-01,QLD,Female,Remanded,ATSI,26
2005-06-01,QLD,Female,Remanded,Non-ATSI,55
2005-06-01,QLD,Female,Sentenced,ATSI,70
2005-06-01,QLD,Female,Sentenced,Non-ATSI,207
2005-06-01,QLD,Male,Remanded,ATSI,225
2005-06-01,QLD,Male,Remanded,Non-ATSI,794
2005-06-01,QLD,Male,Sentenced,ATSI,1008
2005-06-01,QLD,Male,Sentenced,Non-ATSI,2960
2005-06-01,SA,Female,Remanded,ATSI,12
2005-06-01,SA,Female,Remanded,Non-ATSI,27
2005-06-01,SA,Female,Sentenced,ATSI,10
2005-06-01,SA,Female,Sentenced,Non-ATSI,44
2005-06-01,SA,Male,Remanded,ATSI,92
2005-06-01,SA,Male,Remanded,Non-ATSI,359
2005-06-01,SA,Male,Sentenced,ATSI,151
2005-06-01,SA,Male,Sentenced,Non-ATSI,816
2005-06-01,TAS,Female,Remanded,ATSI,2
2005-06-01,TAS,Female,Remanded,Non-ATSI,6
2005-06-01,TAS,Female,Sentenced,ATSI,4
2005-06-01,TAS,Female,Sentenced,Non-ATSI,16
2005-06-01,TAS,Male,Remanded,ATSI,15
2005-06-01,TAS,Male,Remanded,Non-ATSI,98
2005-06-01,TAS,Male,Sentenced,ATSI,47
2005-06-01,TAS,Male,Sentenced,Non-ATSI,352
2005-06-01,VIC,Female,Remanded,ATSI,2
2005-06-01,VIC,Female,Remanded,Non-ATSI,57
2005-06-01,VIC,Female,Sentenced,ATSI,13
2005-06-01,VIC,Female,Sentenced,Non-ATSI,183
2005-06-01,VIC,Male,Remanded,ATSI,42
2005-06-01,VIC,Male,Remanded,Non-ATSI,545
2005-06-01,VIC,Male,Sentenced,ATSI,127
2005-06-01,VIC,Male,Sentenced,Non-ATSI,2623
2005-06-01,WA,Female,Remanded,ATSI,24
2005-06-01,WA,Female,Remanded,Non-ATSI,28
2005-06-01,WA,Female,Sentenced,ATSI,114
2005-06-01,WA,Female,Sentenced,Non-ATSI,102
2005-06-01,WA,Male,Remanded,ATSI,186
2005-06-01,WA,Male,Remanded,Non-ATSI,332
2005-06-01,WA,Male,Sentenced,ATSI,1125
2005-06-01,WA,Male,Sentenced,Non-ATSI,1640
2005-09-01,ACT,Female,Remanded,ATSI,0
2005-09-01,ACT,Female,Remanded,Non-ATSI,1
2005-09-01,ACT,Female,Sentenced,ATSI,0
2005-09-01,ACT,Female,Sentenced,Non-ATSI,5
2005-09-01,ACT,Male,Remanded,ATSI,9
2005-09-01,ACT,Male,Remanded,Non-ATSI,54
2005-09-01,ACT,Male,Sentenced,ATSI,4
2005-09-01,ACT,Male,Sentenced,Non-ATSI,114
2005-09-01,NSW,Female,Remanded,ATSI,53
2005-09-01,NSW,Female,Remanded,Non-ATSI,133
2005-09-01,NSW,Female,Sentenced,ATSI,123
2005-09-01,NSW,Female,Sentenced,Non-ATSI,314
2005-09-01,NSW,Male,Remanded,ATSI,324
2005-09-01,NSW,Male,Remanded,Non-ATSI,1520
2005-09-01,NSW,Male,Sentenced,ATSI,1249
2005-09-01,NSW,Male,Sentenced,Non-ATSI,5291
2005-09-01,NT,Female,Remanded,ATSI,5
2005-09-01,NT,Female,Remanded,Non-ATSI,3
2005-09-01,NT,Female,Sentenced,ATSI,13
2005-09-01,NT,Female,Sentenced,Non-ATSI,3
2005-09-01,NT,Male,Remanded,ATSI,94
2005-09-01,NT,Male,Remanded,Non-ATSI,29
2005-09-01,NT,Male,Sentenced,ATSI,529
2005-09-01,NT,Male,Sentenced,Non-ATSI,120
2005-09-01,QLD,Female,Remanded,ATSI,24
2005-09-01,QLD,Female,Remanded,Non-ATSI,52
2005-09-01,QLD,Female,Sentenced,ATSI,75
2005-09-01,QLD,Female,Sentenced,Non-ATSI,213
2005-09-01,QLD,Male,Remanded,ATSI,227
2005-09-01,QLD,Male,Remanded,Non-ATSI,762
2005-09-01,QLD,Male,Sentenced,ATSI,1030
2005-09-01,QLD,Male,Sentenced,Non-ATSI,2985
2005-09-01,SA,Female,Remanded,ATSI,16
2005-09-01,SA,Female,Remanded,Non-ATSI,32
2005-09-01,SA,Female,Sentenced,ATSI,10
2005-09-01,SA,Female,Sentenced,Non-ATSI,42
2005-09-01,SA,Male,Remanded,ATSI,101
2005-09-01,SA,Male,Remanded,Non-ATSI,375
2005-09-01,SA,Male,Sentenced,ATSI,153
2005-09-01,SA,Male,Sentenced,Non-ATSI,801
2005-09-01,TAS,Female,Remanded,ATSI,3
2005-09-01,TAS,Female,Remanded,Non-ATSI,7
2005-09-01,TAS,Female,Sentenced,ATSI,3
2005-09-01,TAS,Female,Sentenced,Non-ATSI,18
2005-09-01,TAS,Male,Remanded,ATSI,20
2005-09-01,TAS,Male,Remanded,Non-ATSI,95
2005-09-01,TAS,Male,Sentenced,ATSI,45
2005-09-01,TAS,Male,Sentenced,Non-ATSI,338
2005-09-01,VIC,Female,Remanded,ATSI,6
2005-09-01,VIC,Female,Remanded,Non-ATSI,53
2005-09-01,VIC,Female,Sentenced,ATSI,15
2005-09-01,VIC,Female,Sentenced,Non-ATSI,183
2005-09-01,VIC,Male,Remanded,ATSI,43
2005-09-01,VIC,Male,Remanded,Non-ATSI,550
2005-09-01,VIC,Male,Sentenced,ATSI,146
2005-09-01,VIC,Male,Sentenced,Non-ATSI,2682
2005-09-01,WA,Female,Remanded,ATSI,28
2005-09-01,WA,Female,Remanded,Non-ATSI,21
2005-09-01,WA,Female,Sentenced,ATSI,99
2005-09-01,WA,Female,Sentenced,Non-ATSI,102
2005-09-01,WA,Male,Remanded,ATSI,178
2005-09-01,WA,Male,Remanded,Non-ATSI,326
2005-09-01,WA,Male,Sentenced,ATSI,1070
2005-09-01,WA,Male,Sentenced,Non-ATSI,1592
2005-12-01,ACT,Female,Remanded,ATSI,0
2005-12-01,ACT,Female,Remanded,Non-ATSI,4
2005-12-01,ACT,Female,Sentenced,ATSI,0
2005-12-01,ACT,Female,Sentenced,Non-ATSI,8
2005-12-01,ACT,Male,Remanded,ATSI,9
2005-12-01,ACT,Male,Remanded,Non-ATSI,54
2005-12-01,ACT,Male,Sentenced,ATSI,3
2005-12-01,ACT,Male,Sentenced,Non-ATSI,126
2005-12-01,NSW,Female,Remanded,ATSI,48
2005-12-01,NSW,Female,Remanded,Non-ATSI,124
2005-12-01,NSW,Female,Sentenced,ATSI,129
2005-12-01,NSW,Female,Sentenced,Non-ATSI,328
2005-12-01,NSW,Male,Remanded,ATSI,334
2005-12-01,NSW,Male,Remanded,Non-ATSI,1526
2005-12-01,NSW,Male,Sentenced,ATSI,1243
2005-12-01,NSW,Male,Sentenced,Non-ATSI,5259
2005-12-01,NT,Female,Remanded,ATSI,7
2005-12-01,NT,Female,Remanded,Non-ATSI,3
2005-12-01,NT,Female,Sentenced,ATSI,12
2005-12-01,NT,Female,Sentenced,Non-ATSI,4
2005-12-01,NT,Male,Remanded,ATSI,96
2005-12-01,NT,Male,Remanded,Non-ATSI,29
2005-12-01,NT,Male,Sentenced,ATSI,490
2005-12-01,NT,Male,Sentenced,Non-ATSI,119
2005-12-01,QLD,Female,Remanded,ATSI,22
2005-12-01,QLD,Female,Remanded,Non-ATSI,59
2005-12-01,QLD,Female,Sentenced,ATSI,86
2005-12-01,QLD,Female,Sentenced,Non-ATSI,204
2005-12-01,QLD,Male,Remanded,ATSI,233
2005-12-01,QLD,Male,Remanded,Non-ATSI,752
2005-12-01,QLD,Male,Sentenced,ATSI,1032
2005-12-01,QLD,Male,Sentenced,Non-ATSI,2933
2005-12-01,SA,Female,Remanded,ATSI,12
2005-12-01,SA,Female,Remanded,Non-ATSI,32
2005-12-01,SA,Female,Sentenced,ATSI,16
2005-12-01,SA,Female,Sentenced,Non-ATSI,42
2005-12-01,SA,Male,Remanded,ATSI,112
2005-12-01,SA,Male,Remanded,Non-ATSI,392
2005-12-01,SA,Male,Sentenced,ATSI,170
2005-12-01,SA,Male,Sentenced,Non-ATSI,780
2005-12-01,TAS,Female,Remanded,ATSI,2
2005-12-01,TAS,Female,Remanded,Non-ATSI,10
2005-12-01,TAS,Female,Sentenced,ATSI,6
2005-12-01,TAS,Female,Sentenced,Non-ATSI,17
2005-12-01,TAS,Male,Remanded,ATSI,16
2005-12-01,TAS,Male,Remanded,Non-ATSI,86
2005-12-01,TAS,Male,Sentenced,ATSI,51
2005-12-01,TAS,Male,Sentenced,Non-ATSI,331
2005-12-01,VIC,Female,Remanded,ATSI,5
2005-12-01,VIC,Female,Remanded,Non-ATSI,49
2005-12-01,VIC,Female,Sentenced,ATSI,12
2005-12-01,VIC,Female,Sentenced,Non-ATSI,176
2005-12-01,VIC,Male,Remanded,ATSI,41
2005-12-01,VIC,Male,Remanded,Non-ATSI,561
2005-12-01,VIC,Male,Sentenced,ATSI,147
2005-12-01,VIC,Male,Sentenced,Non-ATSI,2658
2005-12-01,WA,Female,Remanded,ATSI,19
2005-12-01,WA,Female,Remanded,Non-ATSI,24
2005-12-01,WA,Female,Sentenced,ATSI,97
2005-12-01,WA,Female,Sentenced,Non-ATSI,96
2005-12-01,WA,Male,Remanded,ATSI,181
2005-12-01,WA,Male,Remanded,Non-ATSI,307
2005-12-01,WA,Male,Sentenced,ATSI,1049
2005-12-01,WA,Male,Sentenced,Non-ATSI,1620
2006-03-01,ACT,Female,Remanded,ATSI,1
2006-03-01,ACT,Female,Remanded,Non-ATSI,3
2006-03-01,ACT,Female,Sentenced,ATSI,0
2006-03-01,ACT,Female,Sentenced,Non-ATSI,9
2006-03-01,ACT,Male,Remanded,ATSI,12
2006-03-01,ACT,Male,Remanded,Non-ATSI,48
2006-03-01,ACT,Male,Sentenced,ATSI,1
2006-03-01,ACT,Male,Sentenced,Non-ATSI,116
2006-03-01,NSW,Female,Remanded,ATSI,55
2006-03-01,NSW,Female,Remanded,Non-ATSI,136
2006-03-01,NSW,Female,Sentenced,ATSI,120
2006-03-01,NSW,Female,Sentenced,Non-ATSI,332
2006-03-01,NSW,Male,Remanded,ATSI,391
2006-03-01,NSW,Male,Remanded,Non-ATSI,1576
2006-03-01,NSW,Male,Sentenced,ATSI,1278
2006-03-01,NSW,Male,Sentenced,Non-ATSI,5215
2006-03-01,NT,Female,Remanded,ATSI,9
2006-03-01,NT,Female,Remanded,Non-ATSI,3
2006-03-01,NT,Female,Sentenced,ATSI,14
2006-03-01,NT,Female,Sentenced,Non-ATSI,3
2006-03-01,NT,Male,Remanded,ATSI,119
2006-03-01,NT,Male,Remanded,Non-ATSI,22
2006-03-01,NT,Male,Sentenced,ATSI,517
2006-03-01,NT,Male,Sentenced,Non-ATSI,119
2006-03-01,QLD,Female,Remanded,ATSI,20
2006-03-01,QLD,Female,Remanded,Non-ATSI,60
2006-03-01,QLD,Female,Sentenced,ATSI,79
2006-03-01,QLD,Female,Sentenced,Non-ATSI,206
2006-03-01,QLD,Male,Remanded,ATSI,270
2006-03-01,QLD,Male,Remanded,Non-ATSI,768
2006-03-01,QLD,Male,Sentenced,ATSI,1081
2006-03-01,QLD,Male,Sentenced,Non-ATSI,2939
2006-03-01,SA,Female,Remanded,ATSI,13
2006-03-01,SA,Female,Remanded,Non-ATSI,28
2006-03-01,SA,Female,Sentenced,ATSI,15
2006-03-01,SA,Female,Sentenced,Non-ATSI,45
2006-03-01,SA,Male,Remanded,ATSI,100
2006-03-01,SA,Male,Remanded,Non-ATSI,381
2006-03-01,SA,Male,Sentenced,ATSI,162
2006-03-01,SA,Male,Sentenced,Non-ATSI,792
2006-03-01,TAS,Female,Remanded,ATSI,4
2006-03-01,TAS,Female,Remanded,Non-ATSI,7
2006-03-01,TAS,Female,Sentenced,ATSI,3
2006-03-01,TAS,Female,Sentenced,Non-ATSI,19
2006-03-01,TAS,Male,Remanded,ATSI,12
2006-03-01,TAS,Male,Remanded,Non-ATSI,77
2006-03-01,TAS,Male,Sentenced,ATSI,38
2006-03-01,TAS,Male,Sentenced,Non-ATSI,316
2006-03-01,VIC,Female,Remanded,ATSI,4
2006-03-01,VIC,Female,Remanded,Non-ATSI,46
2006-03-01,VIC,Female,Sentenced,ATSI,8
2006-03-01,VIC,Female,Sentenced,Non-ATSI,160
2006-03-01,VIC,Male,Remanded,ATSI,39
2006-03-01,VIC,Male,Remanded,Non-ATSI,566
2006-03-01,VIC,Male,Sentenced,ATSI,151
2006-03-01,VIC,Male,Sentenced,Non-ATSI,2582
2006-03-01,WA,Female,Remanded,ATSI,29
2006-03-01,WA,Female,Remanded,Non-ATSI,24
2006-03-01,WA,Female,Sentenced,ATSI,96
2006-03-01,WA,Female,Sentenced,Non-ATSI,98
2006-03-01,WA,Male,Remanded,ATSI,214
2006-03-01,WA,Male,Remanded,Non-ATSI,316
2006-03-01,WA,Male,Sentenced,ATSI,1013
2006-03-01,WA,Male,Sentenced,Non-ATSI,1644
2006-06-01,ACT,Female,Remanded,ATSI,1
2006-06-01,ACT,Female,Remanded,Non-ATSI,5
2006-06-01,ACT,Female,Sentenced,ATSI,0
2006-06-01,ACT,Female,Sentenced,Non-ATSI,9
2006-06-01,ACT,Male,Remanded,ATSI,9
2006-06-01,ACT,Male,Remanded,Non-ATSI,56
2006-06-01,ACT,Male,Sentenced,ATSI,9
2006-06-01,ACT,Male,Sentenced,Non-ATSI,101
2006-06-01,NSW,Female,Remanded,ATSI,53
2006-06-01,NSW,Female,Remanded,Non-ATSI,141
2006-06-01,NSW,Female,Sentenced,ATSI,137
2006-06-01,NSW,Female,Sentenced,Non-ATSI,326
2006-06-01,NSW,Male,Remanded,ATSI,402
2006-06-01,NSW,Male,Remanded,Non-ATSI,1603
2006-06-01,NSW,Male,Sentenced,ATSI,1332
2006-06-01,NSW,Male,Sentenced,Non-ATSI,5262
2006-06-01,NT,Female,Remanded,ATSI,11
2006-06-01,NT,Female,Remanded,Non-ATSI,2
2006-06-01,NT,Female,Sentenced,ATSI,14
2006-06-01,NT,Female,Sentenced,Non-ATSI,6
2006-06-01,NT,Male,Remanded,ATSI,121
2006-06-01,NT,Male,Remanded,Non-ATSI,19
2006-06-01,NT,Male,Sentenced,ATSI,530
2006-06-01,NT,Male,Sentenced,Non-ATSI,113
2006-06-01,QLD,Female,Remanded,ATSI,22
2006-06-01,QLD,Female,Remanded,Non-ATSI,60
2006-06-01,QLD,Female,Sentenced,ATSI,91
2006-06-01,QLD,Female,Sentenced,Non-ATSI,207
2006-06-01,QLD,Male,Remanded,ATSI,256
2006-06-01,QLD,Male,Remanded,Non-ATSI,828
2006-06-01,QLD,Male,Sentenced,ATSI,1125
2006-06-01,QLD,Male,Sentenced,Non-ATSI,2938
2006-06-01,SA,Female,Remanded,ATSI,9
2006-06-01,SA,Female,Remanded,Non-ATSI,28
2006-06-01,SA,Female,Sentenced,ATSI,15
2006-06-01,SA,Female,Sentenced,Non-ATSI,49
2006-06-01,SA,Male,Remanded,ATSI,113
2006-06-01,SA,Male,Remanded,Non-ATSI,412
2006-06-01,SA,Male,Sentenced,ATSI,169
2006-06-01,SA,Male,Sentenced,Non-ATSI,781
2006-06-01,TAS,Female,Remanded,ATSI,2
2006-06-01,TAS,Female,Remanded,Non-ATSI,7
2006-06-01,TAS,Female,Sentenced,ATSI,5
2006-06-01,TAS,Female,Sentenced,Non-ATSI,24
2006-06-01,TAS,Male,Remanded,ATSI,15
2006-06-01,TAS,Male,Remanded,Non-ATSI,97
2006-06-01,TAS,Male,Sentenced,ATSI,36
2006-06-01,TAS,Male,Sentenced,Non-ATSI,317
2006-06-01,VIC,Female,Remanded,ATSI,5
2006-06-01,VIC,Female,Remanded,Non-ATSI,42
2006-06-01,VIC,Female,Sentenced,ATSI,8
2006-06-01,VIC,Female,Sentenced,Non-ATSI,170
2006-06-01,VIC,Male,Remanded,ATSI,40
2006-06-01,VIC,Male,Remanded,Non-ATSI,557
2006-06-01,VIC,Male,Sentenced,ATSI,157
2006-06-01,VIC,Male,Sentenced,Non-ATSI,2692
2006-06-01,WA,Female,Remanded,ATSI,31
2006-06-01,WA,Female,Remanded,Non-ATSI,22
2006-06-01,WA,Female,Sentenced,ATSI,101
2006-06-01,WA,Female,Sentenced,Non-ATSI,94
2006-06-01,WA,Male,Remanded,ATSI,213
2006-06-01,WA,Male,Remanded,Non-ATSI,331
2006-06-01,WA,Male,Sentenced,ATSI,1052
2006-06-01,WA,Male,Sentenced,Non-ATSI,1634
2006-09-01,ACT,Female,Remanded,ATSI,1
2006-09-01,ACT,Female,Remanded,Non-ATSI,8
2006-09-01,ACT,Female,Sentenced,ATSI,0
2006-09-01,ACT,Female,Sentenced,Non-ATSI,4
2006-09-01,ACT,Male,Remanded,ATSI,8
2006-09-01,ACT,Male,Remanded,Non-ATSI,44
2006-09-01,ACT,Male,Sentenced,ATSI,10
2006-09-01,ACT,Male,Sentenced,Non-ATSI,90
2006-09-01,NSW,Female,Remanded,ATSI,53
2006-09-01,NSW,Female,Remanded,Non-ATSI,149
2006-09-01,NSW,Female,Sentenced,ATSI,153
2006-09-01,NSW,Female,Sentenced,Non-ATSI,331
2006-09-01,NSW,Male,Remanded,ATSI,365
2006-09-01,NSW,Male,Remanded,Non-ATSI,1666
2006-09-01,NSW,Male,Sentenced,ATSI,1361
2006-09-01,NSW,Male,Sentenced,Non-ATSI,5210
2006-09-01,NT,Female,Remanded,ATSI,10
2006-09-01,NT,Female,Remanded,Non-ATSI,1
2006-09-01,NT,Female,Sentenced,ATSI,13
2006-09-01,NT,Female,Sentenced,Non-ATSI,10
2006-09-01,NT,Male,Remanded,ATSI,135
2006-09-01,NT,Male,Remanded,Non-ATSI,23
2006-09-01,NT,Male,Sentenced,ATSI,481
2006-09-01,NT,Male,Sentenced,Non-ATSI,101
2006-09-01,QLD,Female,Remanded,ATSI,24
2006-09-01,QLD,Female,Remanded,Non-ATSI,65
2006-09-01,QLD,Female,Sentenced,ATSI,93
2006-09-01,QLD,Female,Sentenced,Non-ATSI,221
2006-09-01,QLD,Male,Remanded,ATSI,251
2006-09-01,QLD,Male,Remanded,Non-ATSI,860
2006-09-01,QLD,Male,Sentenced,ATSI,1137
2006-09-01,QLD,Male,Sentenced,Non-ATSI,2930
2006-09-01,SA,Female,Remanded,ATSI,7
2006-09-01,SA,Female,Remanded,Non-ATSI,29
2006-09-01,SA,Female,Sentenced,ATSI,17
2006-09-01,SA,Female,Sentenced,Non-ATSI,48
2006-09-01,SA,Male,Remanded,ATSI,103
2006-09-01,SA,Male,Remanded,Non-ATSI,411
2006-09-01,SA,Male,Sentenced,ATSI,186
2006-09-01,SA,Male,Sentenced,Non-ATSI,803
2006-09-01,TAS,Female,Remanded,ATSI,3
2006-09-01,TAS,Female,Remanded,Non-ATSI,11
2006-09-01,TAS,Female,Sentenced,ATSI,4
2006-09-01,TAS,Female,Sentenced,Non-ATSI,21
2006-09-01,TAS,Male,Remanded,ATSI,18
2006-09-01,TAS,Male,Remanded,Non-ATSI,106
2006-09-01,TAS,Male,Sentenced,ATSI,38
2006-09-01,TAS,Male,Sentenced,Non-ATSI,341
2006-09-01,VIC,Female,Remanded,ATSI,3
2006-09-01,VIC,Female,Remanded,Non-ATSI,45
2006-09-01,VIC,Female,Sentenced,ATSI,11
2006-09-01,VIC,Female,Sentenced,Non-ATSI,188
2006-09-01,VIC,Male,Remanded,ATSI,50
2006-09-01,VIC,Male,Remanded,Non-ATSI,637
2006-09-01,VIC,Male,Sentenced,ATSI,156
2006-09-01,VIC,Male,Sentenced,Non-ATSI,2850
2006-09-01,WA,Female,Remanded,ATSI,29
2006-09-01,WA,Female,Remanded,Non-ATSI,28
2006-09-01,WA,Female,Sentenced,ATSI,100
2006-09-01,WA,Female,Sentenced,Non-ATSI,101
2006-09-01,WA,Male,Remanded,ATSI,196
2006-09-01,WA,Male,Remanded,Non-ATSI,347
2006-09-01,WA,Male,Sentenced,ATSI,1082
2006-09-01,WA,Male,Sentenced,Non-ATSI,1651
2006-12-01,ACT,Female,Remanded,ATSI,0
2006-12-01,ACT,Female,Remanded,Non-ATSI,6
2006-12-01,ACT,Female,Sentenced,ATSI,1
2006-12-01,ACT,Female,Sentenced,Non-ATSI,5
2006-12-01,ACT,Male,Remanded,ATSI,7
2006-12-01,ACT,Male,Remanded,Non-ATSI,51
2006-12-01,ACT,Male,Sentenced,ATSI,17
2006-12-01,ACT,Male,Sentenced,Non-ATSI,92
2006-12-01,NSW,Female,Remanded,ATSI,64
2006-12-01,NSW,Female,Remanded,Non-ATSI,154
2006-12-01,NSW,Female,Sentenced,ATSI,139
2006-12-01,NSW,Female,Sentenced,Non-ATSI,337
2006-12-01,NSW,Male,Remanded,ATSI,378
2006-12-01,NSW,Male,Remanded,Non-ATSI,1696
2006-12-01,NSW,Male,Sentenced,ATSI,1372
2006-12-01,NSW,Male,Sentenced,Non-ATSI,5289
2006-12-01,NT,Female,Remanded,ATSI,7
2006-12-01,NT,Female,Remanded,Non-ATSI,0
2006-12-01,NT,Female,Sentenced,ATSI,12
2006-12-01,NT,Female,Sentenced,Non-ATSI,9
2006-12-01,NT,Male,Remanded,ATSI,150
2006-12-01,NT,Male,Remanded,Non-ATSI,25
2006-12-01,NT,Male,Sentenced,ATSI,493
2006-12-01,NT,Male,Sentenced,Non-ATSI,113
2006-12-01,QLD,Female,Remanded,ATSI,30
2006-12-01,QLD,Female,Remanded,Non-ATSI,65
2006-12-01,QLD,Female,Sentenced,ATSI,88
2006-12-01,QLD,Female,Sentenced,Non-ATSI,232
2006-12-01,QLD,Male,Remanded,ATSI,269
2006-12-01,QLD,Male,Remanded,Non-ATSI,858
2006-12-01,QLD,Male,Sentenced,ATSI,1130
2006-12-01,QLD,Male,Sentenced,Non-ATSI,2968
2006-12-01,SA,Female,Remanded,ATSI,9
2006-12-01,SA,Female,Remanded,Non-ATSI,32
2006-12-01,SA,Female,Sentenced,ATSI,16
2006-12-01,SA,Female,Sentenced,Non-ATSI,48
2006-12-01,SA,Male,Remanded,ATSI,108
2006-12-01,SA,Male,Remanded,Non-ATSI,404
2006-12-01,SA,Male,Sentenced,ATSI,193
2006-12-01,SA,Male,Sentenced,Non-ATSI,851
2006-12-01,TAS,Female,Remanded,ATSI,8
2006-12-01,TAS,Female,Remanded,Non-ATSI,8
2006-12-01,TAS,Female,Sentenced,ATSI,4
2006-12-01,TAS,Female,Sentenced,Non-ATSI,26
2006-12-01,TAS,Male,Remanded,ATSI,15
2006-12-01,TAS,Male,Remanded,Non-ATSI,90
2006-12-01,TAS,Male,Sentenced,ATSI,40
2006-12-01,TAS,Male,Sentenced,Non-ATSI,362
2006-12-01,VIC,Female,Remanded,ATSI,2
2006-12-01,VIC,Female,Remanded,Non-ATSI,43
2006-12-01,VIC,Female,Sentenced,ATSI,10
2006-12-01,VIC,Female,Sentenced,Non-ATSI,187
2006-12-01,VIC,Male,Remanded,ATSI,48
2006-12-01,VIC,Male,Remanded,Non-ATSI,674
